X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823366.18725362,4883240.66347543,11859,Keep Right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck,double sided,R4-7,Champaign,13006,,AERIAL,K,,8944,,{7909852C-BB69-4FCA-A75C-3DC01BB66E64}
-9823363.59582478,4883240.66088467,11860,Elevator/Stairs to Neil/Hill Streets,"18"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13007,,AERIAL,K,,8945,,{32BD256F-B690-4728-A77D-1D78C95ABE21}
-9823361.00439594,4883240.65829323,11861,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13008,,AERIAL,K,,8946,,{6FC79BAC-19A7-4E51-A103-F8B4AF1909E1}
-9823355.82187543,4883240.44504525,11862,EV Fuel,"24"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13010,,AERIAL,K,,8947,,{BC6549ED-52C1-4E61-831A-6926906F2A36}
-9823353.23044665,4883240.44245176,11863,Park Exit arrows right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13011,,AERIAL,K,,8948,,{8DD22E39-B7F5-444F-AAE9-FDDB561CDFCF}
-9823350.63901787,4883240.4398576,11864,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13012,,AERIAL,K,,8949,,{F2C066F7-BF7F-4DBA-ABC5-B32C6AD81F96}
-9823347.9439006,4883240.43715891,11865,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13013,,AERIAL,K,,8950,,{02E0A416-0C40-4CAB-B015-2731DFC2A7F1}
-9823345.55995227,4883240.33067395,11866,Stairs/Elevator to Neil & Hill | Stairs to Randolph,"20"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13014,,AERIAL,K,,8951,,{819B6CF3-F5BA-434D-99A1-152E2404EEC4}
-9823342.96862702,4883240.22398062,11867,Park arrows left,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13015,,AERIAL,K,,8952,,{C8692DA7-F9D2-4E14-A7F4-049E01BB3F80}
-9823340.48078328,4883240.32558482,11868,Keep Right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck,double sided,R4-7,Champaign,13016,,AERIAL,K,,8953,,{5545B7B7-3D97-430F-B2C0-E35F8AB7A575}
-9823337.88948513,4883240.32298743,11869,Keep Right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck,double sided,R4-7,Champaign,13017,,AERIAL,K,,8954,,{DFA560E9-AE40-4708-923F-49219AD91CA3}
-9823335.50519922,4883240.42469418,11870,Stairs to Randolph Street arrow left,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13018,,AERIAL,K,,8955,,{72A46453-C680-482E-9F63-A73485B18EA2}
-9823333.01745896,4883240.42219935,11871,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13019,,AERIAL,K,,8956,,{719BFB28-DF51-463E-9532-7BD8A5B6E630}
-9823330.32257591,4883240.31539884,11872,Exit arrow right,"14"" X 18""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13020,,AERIAL,K,,8957,,{D2A925B7-E778-4C32-897F-F72E7992E59C}
-9823327.73114718,4883240.31279865,11873,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13021,,AERIAL,K,,8958,,{22B38738-67E4-40D9-8F4E-FB0281243459}
-9823325.13971845,4883240.31019779,11874,Level 3/4,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13022,,AERIAL,K,,8959,,{600EC239-0A3F-45B6-8CA0-FB53BBF646F1}
-9823322.65197822,4883240.30770034,11875,Level 3/4,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13023,,AERIAL,K,,8960,,{2335E91C-27F8-45AF-9291-AE1EB38451B9}
-9823320.16434171,4883240.20110513,11876,City of Champaign Violators Will be Towed at Owners Exp,"18"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,R7-201,Champaign,13024,,AERIAL,K,,8961,,{801351B3-8C39-48E8-9360-FAA7D948B5D6}
